Distinct count of 'comname' by 'shift_pattern' and 'Mechanism',,,,,,,,,
,,,,,,,,,
,shift_pattern,Mechanism,Distinct Count of comname,,,,Converging ,11,0.255813953
,,,,,,,Diverging ,3,0.069767442
,Marching,Both moving,12,,,,Unclear ,7,0.162790698
,Stable,Neither moving,10,,,,,,
,Converging,Spring moving only,6,,,,,,
,Unclear,Spring moving only,5,,,,,,43
,Converging,Both moving,3,,,,,,100
,Diverging,Spring moving only,3,,,,,,0.279069767
,Converging,Fall moving only,2,,,,,,
,Unclear,Fall moving only,2,,,,,,
,,,43,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.23255814,,,,,,
,,,0.279069767,,,,,,